profile,gender,birthday,favorites_anime,link
DesolatePsyche,Male,"Oct 2, 1994","['28891', '5114']",https://myanimelist.net/profile/DesolatePsyche
baekbeans,Female,"Nov 10, 2000","['23273', '28891']",https://myanimelist.net/profile/baekbeans
skrn,Female,"Nov 20, 2002","['34599']",https://myanimelist.net/profile/skrn
edgewalker00,Male,Sep 5,"['5680', '849', '2904', '3588', '37349']",https://myanimelist.net/profile/edgewalker00
aManOfCulture99,Male,"Oct 30, 1999","['4181', '7791', '9617', '5680', '2167', '4382', '849', '235', '35180', '31646']",https://myanimelist.net/profile/aManOfCulture99
eneri,,,"['5114', '4898', '2904', '1575', '1482']",https://myanimelist.net/profile/eneri
Waffle_Empress,,"May 29, 1996","['338', '322', '440', '199', '28223', '12815', '2800', '18679', '387', '8129']",https://myanimelist.net/profile/Waffle_Empress
NIGGER_BONER,Male,"Jan 1, 1985","['11061', '30', '6594', '28701', '10087', '6746', '918', '1535', '24415', '5081']",https://myanimelist.net/profile/NIGGER_BONER
jchang,Male,"Jul 29, 1992","['846', '2904', '5114', '2924', '72']",https://myanimelist.net/profile/jchang
shadowsplat,,,[],https://myanimelist.net/profile/shadowsplat
angelsreview,Female,"May 26, 1989","['534', '71', '7724', '861', '5060', '853']",https://myanimelist.net/profile/angelsreview
CalebTheMenace,Male,"Jun 29, 2004","['4181', '11617', '1735', '35849', '28999', '29803', '31964', '36098', '5081', '8525']",https://myanimelist.net/profile/CalebTheMenace
Kiethol,,,[],https://myanimelist.net/profile/Kiethol
Eanki,Male,"Dec 3, 1995","['27989', '28851', '17265', '15227', '35557', '24', '5420', '4224', '23289', '31859']",https://myanimelist.net/profile/Eanki
NekoKyupi,Male,"Jan 8, 2001","['34599', '4181', '9756', '32949', '30654', '28851']",https://myanimelist.net/profile/NekoKyupi
12sed,,,"['30', '16201', '22135']",https://myanimelist.net/profile/12sed
OVERPOWERED99,Male,"Nov 16, 2000","['5680', '15051', '31953', '31964', '16498', '6213', '21647', '3455', '12189', '18679']",https://myanimelist.net/profile/OVERPOWERED99
MrAnimeCrunch,Male,,[],https://myanimelist.net/profile/MrAnimeCrunch
JoJo_Stalin,Male,"Aug 4, 2000","['1050', '227', '1921', '1029', '18679']",https://myanimelist.net/profile/JoJo_Stalin
Kaishuu,Male,"Jun 10, 1999","['27899', '1535', '2167', '22319']",https://myanimelist.net/profile/Kaishuu
Rigas,,,"['1535', '20583', '14813', '3972', '11843', '30831', '482', '1565', '1575', '19291']",https://myanimelist.net/profile/Rigas
BenBaneki,,,[],https://myanimelist.net/profile/BenBaneki
SakuraSan628,Female,,"['232', '8129', '7791', '10460', '18507']",https://myanimelist.net/profile/SakuraSan628
blackfaith89,,,"['9253', '4181', '2167']",https://myanimelist.net/profile/blackfaith89
Leyvon,Male,"Oct 31, 1990","['1735', '1575', '226', '1535', '2167']",https://myanimelist.net/profile/Leyvon
Sime3134,Male,1996,"['4181', '9989', '8425', '27899', '1889']",https://myanimelist.net/profile/Sime3134
desinoh,,,['10620'],https://myanimelist.net/profile/desinoh
GinKagu,Female,"Mar 21, 2012","['918', '2904', '4181', '9989']",https://myanimelist.net/profile/GinKagu
Itaku,Male,"Jun 13, 1993",['10049'],https://myanimelist.net/profile/Itaku
Lucryllin,Male,"Oct 12, 1987","['177', '861', '66', '2167', '4181']",https://myanimelist.net/profile/Lucryllin
SieghartTheMage,,,"['9253', '2904', '13601', '11741', '5114', '1', '136', '1535', '245', '1482']",https://myanimelist.net/profile/SieghartTheMage
ggultra2764,Male,"May 29, 1985","['512', '7193', '165', '440', '634']",https://myanimelist.net/profile/ggultra2764
0Seru0,Male,"Dec 18, 1990","['7661', '582', '33', '2904', '1425', '1453', '1608', '22687', '21', '1470']",https://myanimelist.net/profile/0Seru0
BowlingJD,Male,"Feb 9, 1988","['21', '235', '19', '302', '90', '474', '1453']",https://myanimelist.net/profile/BowlingJD
gwern,Male,,[],https://myanimelist.net/profile/gwern
greatyu,Female,"Dec 27, 1993","['20', '21', '918', '11061', '934', '13125']",https://myanimelist.net/profile/greatyu
Arbogast,Male,,[],https://myanimelist.net/profile/Arbogast
Slushpuppy282,Female,"Dec 10, 1990","['407', '3588', '177', '1604', '269']",https://myanimelist.net/profile/Slushpuppy282
mattpointon77,Male,"Nov 9, 1977","['59', '205', '513', '1029', '1279', '7465', '6802', '34537', '7785', '7588']",https://myanimelist.net/profile/mattpointon77
yolerMit,,,"['7724', '2246', '457', '8475', '7588']",https://myanimelist.net/profile/yolerMit
Abeyant,Male,"Apr 10, 2000","['35839', '457', '7785', '35079', '34599', '5114', '22789', '13125', '12355', '9253']",https://myanimelist.net/profile/Abeyant
SamuraiSteve,,,"['7588', '3701', '1', '43', '22135', '33983', '339']",https://myanimelist.net/profile/SamuraiSteve
kyojin13,Male,Oct 6,"['31043', '28891', '33486', '22135', '245', '268', '12531']",https://myanimelist.net/profile/kyojin13
HybridMedia,Male,"Oct 3, 1990","['1016', '1292', '205', '47', '1']",https://myanimelist.net/profile/HybridMedia
eyerok,Male,"Sep 8, 1987","['820', '457', '205', '467', '1', '22135', '1030', '601', '283', '44']",https://myanimelist.net/profile/eyerok
patrickRos,,,"['457', '486', '239']",https://myanimelist.net/profile/patrickRos
shadowfireflame,Female,,"['853', '121', '18507', '4898', '3655']",https://myanimelist.net/profile/shadowfireflame
SerpentineJ,,,"['19', '918', '9941', '32962', '24439', '24405', '3655', '28223', '31157', '2246']",https://myanimelist.net/profile/SerpentineJ
tinypinkghostie,Female,"Jan 1, 1983","['23289', '1412', '11843', '32281', '35062']",https://myanimelist.net/profile/tinypinkghostie
stonnyfor,Male,,"['1412', '81', '205', '1', '2001', '33', '392', '31933']",https://myanimelist.net/profile/stonnyfor
BabyGirl06301,Female,"Sep 6, 1997","['20', '18507', '18689', '20583', '11771', '31964', '20507', '5114', '10800', '28171']",https://myanimelist.net/profile/BabyGirl06301
ToastytheBaker,Male,,['23847'],https://myanimelist.net/profile/ToastytheBaker
ImTheRhetorician,Male,,"['269', '5958', '7724', '1735']",https://myanimelist.net/profile/ImTheRhetorician
zabadoh,,,[],https://myanimelist.net/profile/zabadoh
Eoussama,Male,"Jun 27, 1998","['37510', '4181', '21', '2035']",https://myanimelist.net/profile/Eoussama
Aphyxia,Male,Aug 23,"['1575', '2904', '934', '4654', '5081']",https://myanimelist.net/profile/Aphyxia
Shirayukishi,Female,,"['20', '877', '19', '4081', '12531', '12355']",https://myanimelist.net/profile/Shirayukishi
Creeperface,Female,Jun 2,[],https://myanimelist.net/profile/Creeperface
ParaParaJMo,Male,"Jun 24, 1984","['1362', '263', '81', '2402', '85', '37991']",https://myanimelist.net/profile/ParaParaJMo
ChouEritto,Male,,"['820', '2921', '32', '30', '5114', '2402', '33', '1210', '10937', '338']",https://myanimelist.net/profile/ChouEritto
Yakarin,Female,Jul 17,"['4081', '1524', '457', '477', '3345', '33352', '31964', '22789', '21', '20507']",https://myanimelist.net/profile/Yakarin
Paulwillson26,Male,Sep 25,"['44', '5177', '256', '387', '9253']",https://myanimelist.net/profile/Paulwillson26
Eneko-chan,Female,"Dec 13, 1989","['2164', '153', '584', '60', '182']",https://myanimelist.net/profile/Eneko-chan
Lima-Sama,Male,"May 21, 1965","['21', '223', '20', '11061']",https://myanimelist.net/profile/Lima-Sama
Algirdyz,Male,"Jul 14, 1992","['820', '26', '457', '32', '875']",https://myanimelist.net/profile/Algirdyz
Baconzombie,Male,"Jun 29, 1995","['3297', '820', '19', '387', '1827', '457', '2251', '467', '5114', '329']",https://myanimelist.net/profile/Baconzombie
skankfish,Male,"Feb 19, 1984",[],https://myanimelist.net/profile/skankfish
AlexJetski,Male,"May 16, 2000","['14719', '820', '7785', '26', '10721', '9996', '31646', '10087', '3002', '2559']",https://myanimelist.net/profile/AlexJetski
steampunkvillain,Male,"May 14, 1990","['9253', '7588', '790']",https://myanimelist.net/profile/steampunkvillain
IceAndCream,,,"['5114', '5530', '2158', '1827', '7588']",https://myanimelist.net/profile/IceAndCream
BienAgiter,Male,"Jan 12, 1991","['2904', '4181', '5114', '3784', '6594']",https://myanimelist.net/profile/BienAgiter
bleeb,Female,"Jul 7, 1990","['431', '114', '1205', '3326']",https://myanimelist.net/profile/bleeb
Jolon,,,"['39071', '444', '7588', '2942', '3297', '820']",https://myanimelist.net/profile/Jolon
Seabury,Male,"Dec 26, 1988","['30', '440', '199', '514', '572', '34522']",https://myanimelist.net/profile/Seabury
Fleure,Female,,"['440', '3297', '457', '22135', '877']",https://myanimelist.net/profile/Fleure
Jodyqt,Male,"Jan 21, 1991","['2828', '2402', '801', '795', '2623', '820', '2257', '283', '2001', '10721']",https://myanimelist.net/profile/Jodyqt
Lindle,Non-Binary,"Aug 6, 1991","['820', '7785', '1', '22135', '43', '585', '7588', '25835', '2921', '32']",https://myanimelist.net/profile/Lindle
ZephSilver,Male,"Nov 30, 1993","['790', '285', '570', '1299', '239', '457', '801', '1025', '543', '885', '820', '19', '634', '949', '205', '7588', '455', '877', '1029', '283']",https://myanimelist.net/profile/ZephSilver
Mimi_Taylor,Female,"Oct 2, 1988","['12029', '820', '2158', '455', '97', '584', '5074', '19', '523', '2154']",https://myanimelist.net/profile/Mimi_Taylor
Detective,Male,Aug 31,"['32', '199', '4224', '19', '7785', '31933', '849', '6774', '7062', '36817', '9756']",https://myanimelist.net/profile/Detective
sillikorae,,,['4181'],https://myanimelist.net/profile/sillikorae
InsaneMooseCat,Male,"Apr 5, 1998","['11617', '13759', '12467', '4744', '857']",https://myanimelist.net/profile/InsaneMooseCat
theillusionary,Male,"Apr 10, 1996","['1530', '4181', '2167']",https://myanimelist.net/profile/theillusionary
Jakerams,Male,"May 2, 1994","['193', '7674', '5941', '34822', '3455', '10800', '3731', '12531', '16067', '10460', '24405', '2129', '125', '34934', '1555', '355', '237', '257', '6114', '31710']",https://myanimelist.net/profile/Jakerams
showandAG,Male,"Jun 25, 1996","['5114', '205', '245', '1575', '4181', '16498', '889', '813', '33', '1530']",https://myanimelist.net/profile/showandAG
xScHeiZe,Female,"Jun 2, 1993","['4181', '9253', '30276', '34599', '37779']",https://myanimelist.net/profile/xScHeiZe
ChildHatchling,Male,"Sep 12, 1996","['9213', '2787', '355', '8407']",https://myanimelist.net/profile/ChildHatchling
Lohuydahutt,Male,Mar 19,"['17074', '6594', '12189', '7785', '35180', '437', '37999', '23847', '9253', '820']",https://myanimelist.net/profile/Lohuydahutt
Victor_Lighty,Male,Sep 26,"['1535', '1889', '934', '4181', '2167']",https://myanimelist.net/profile/Victor_Lighty
Vedan,Male,"Mar 26, 1998","['813', '31051', '28907', '13759', '11771', '2167', '30694', '12413']",https://myanimelist.net/profile/Vedan
TabiNoTochuu,Male,Jun 30,"['4789', '2924', '5341', '6547', '4181']",https://myanimelist.net/profile/TabiNoTochuu
AlexanderMaya,,"Jan 19, 1999","['32182', '35557', '59', '33003', '20853', '1041', '37991', '1735', '513', '885']",https://myanimelist.net/profile/AlexanderMaya
LoveArrowShooto,Male,"Nov 27, 1996","['4181', '7791', '15051', '30296', '21327', '25519', '14289', '1530', '13655', '28171']",https://myanimelist.net/profile/LoveArrowShooto
For_Reign,Male,"Dec 11, 1988","['249', '20507', '2966', '7724', '10372', '813', '31964', '22297', '10087']",https://myanimelist.net/profile/For_Reign
vanmarckestevy,Male,"Dec 2, 1982","['26', '457', '43', '339', '227', '16664']",https://myanimelist.net/profile/vanmarckestevy
BTDee,Female,"Oct 16, 1996","['23755', '16067', '16498', '34572', '8074', '39533', '35790', '18115', '11665']",https://myanimelist.net/profile/BTDee
Asasphinx,,,"['232', '66', '77', '934', '4282', '7311', '9253', '14131', '18679', '4087']",https://myanimelist.net/profile/Asasphinx
LegendAqua,Male,Apr 10,"['32843', '2787', '2001', '37991', '13601', '232', '31988', '10087', '9253', '10278']",https://myanimelist.net/profile/LegendAqua
CinaGinger,Female,,"['431', '1698', '30736', '33489', '1375', '34599', '4087', '12431', '16', '19']",https://myanimelist.net/profile/CinaGinger
LandingZone,Male,Jun 22,"['37965', '18679', '33489', '37450', '35788', '28171', '36456', '32937', '33486', '4224']",https://myanimelist.net/profile/LandingZone
ryuichi_crosszer,Female,Jul 11,"['12711', '22', '7058', '235', '3092']",https://myanimelist.net/profile/ryuichi_crosszer
Makimidorikawa,,,[],https://myanimelist.net/profile/Makimidorikawa
MoriHimari,Female,Apr 12,"['23273', '350', '10721', '6045', '1604', '15061', '28297']",https://myanimelist.net/profile/MoriHimari
Fire,Male,"Apr 28, 2000","['7674', '21185', '14075', '9253', '31043', '21995', '32729', '2034', '38524', '27775']",https://myanimelist.net/profile/Fire
jc9622,Male,"Nov 27, 2020","['7311', '28851', '11981', '9253', '37786', '35180', '39198', '31240', '23847', '21327', '35839', '17074', '36296', '4725', '28907', '33486']",https://myanimelist.net/profile/jc9622
SmilingSakura,,,"['1887', '2164', '8425', '4181', '584', '9756', '12149']",https://myanimelist.net/profile/SmilingSakura
KnicePerson,,,"['23273', '33255', '30015', '24833']",https://myanimelist.net/profile/KnicePerson
thesailingship,,,"['9930', '21469']",https://myanimelist.net/profile/thesailingship
Dcm18,Male,"Feb 28, 1991","['30', '813', '268', '1', '5114']",https://myanimelist.net/profile/Dcm18
ktulu007,Male,"Jan 10, 1986",[],https://myanimelist.net/profile/ktulu007
Firechick12012,Female,"Jun 25, 1993","['1557', '6211', '4081', '2623', '604', '1695', '387', '338', '2199']",https://myanimelist.net/profile/Firechick12012
88expert,Male,"Dec 17, 1997","['721', '2559', '23273', '32483', '1826', '35222', '33314', '32951', '32673']",https://myanimelist.net/profile/88expert
